"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"projectTags"	"numberOfAnnotatedLibraries"	"protocol"	"protocolType"	"GSE"	"Bioproject"	"PMID"	"PMID_url"	"comment"
"SRP013825"	"Transcriptomes of germinal zones of human and mouse fetal neocortex suggest a role of extracellular matrix in progenitor self-renewal."	"Total RNA was isolated from the VZ, inner SVZ (ISVZ), outer SVZ (OSVZ) and CP of six 13-16 weeks post-conception (w.p.c.) human fetuses and from the VZ, SVZ and CP of five E14.5 mouse embryos using laser capture microdissection of Nissl-stained cryosections of dorsolateral telencephalon. Poly A+ RNA was used as template for the preparation of cDNA which were then subjected to single-end 76-bp RNA-Seq."	"GEO"	"total"									"GSE38805"
"SRP029592"	"RNA-seq transcriptomes of term not in labour and term in labour human myometrial tissue"	"At term with and at term without labour human myometrial mRNA profiles were generated by deep sequencing, using Illumina GAIIx (five biological replicates each)."	"GEO"	"total"									"GSE50599"
"SRP007655"	"Comparative Analysis of RNA-Seq Alignment Algorithms and the RNA-Seq Unified Mapper (RUM)."	"RNA-Seq of mouse retinal RNA, as described."	"GEO"	"total"									"GSE26248"
"SRP010955"	"Maternal Influence on Exonic CpG Island Methylation in the Developing Hippocampus [RNA-Seq]"	"Examined transcriptomes of 5HT1A wild type offspring with 5HT1A wild type/heterozygous mother or 5HT1A KO offspring with 5HT1A of heterozygous/knock out mother"	"GEO"	"partial"									"GSE35838"
"SRP009459"	"Identification of polyA sites in Drosophila melanogaster (modENCODE project)"	"The 3' ends of most Drosophila melanogaster genes are poorly annotated or are determined by only a single EST or cDNA clone. To enhance the annotation of poly(A) site use in Drosophila, we performed deep sequencing on RNA isolated from 29 dissected tissues using an approach designed to enrich for poly(A) spanning reads. From these experiments, we identified 1.4 million poly(A) spanning reads leading to the identification of many new poly(A) sites and the identification of many tissue-specific poly(A) sites."	"GEO"	"total"									"GSE33905"
"SRP011074"	"Deep sequencing the circadian and light-dependent transcriptome of Drosophila brain"	"RNA-Seq transcriptional profiling of Drosophila brains from wildtype and period loss-of-function (per0) flies with time points taken over two days in constant darkness. Time points at CT24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, and 68. 10-12 brains per time point."	"GEO"	"partial"									"GSE36108"
"SRP108727"	"Integrating transcriptome and proteome profiles of prenatal muscle tissue to reveal the postnatal growth differences in pigsof Pig Muscle Tissue"	"RNA sequences from the tissues of embryonic longissimus dorsi muscle of three pig breeds (Tibetan pig [TP], Wujin pig [WJ], and Large White pig [LW]) were examined using HiSeq 4000."	"GEO"	"total"									"GSE99749"
"SRP042013"	"RNA-Seq data from a number of different Spotted Gar tissues"	"Illumina sequencing of Lepisosteus oculatus via complementary DNA"	"SRA"	"total"									"PRJNA247500"
"SRP044782"	"Transcriptome analysis of 11 spotted gar tissues"	"Total RNA was qualified using an Agilent BioAnalyzer and 1 microg was used for polyA selection and library construction with Illumina's TruSeq stranded total RNA sample preparation kit according to the manufacturer's instructions (TruSeq stranded total RNA SamplePrep Guide RevC)"	"SRA"	"total"	"PhyloFish"								"PRJNA255881"
"#SRP044783"	"Transcriptome analysis of 10 bowfin tissues"	"Total RNA was qualified using an Agilent BioAnalyzer and 1 microg was used for polyA selection and library construction with Illumina's TruSeq stranded total RNA sample preparation kit according to the manufacturer's instructions (TruSeq stranded total RNA SamplePrep Guide RevC)"	"SRA"		"PhyloFish"								"PRJNA255850; Amia calva (bowfin) commented because not yet NCBI sequenced"
"SRP044784"	"Transcriptome analysis of 11 medaka tissues"	"Total RNA was qualified using an Agilent BioAnalyzer and 1 microg was used for polyA selection and library construction with Illumina's TruSeq stranded total RNA sample preparation kit according to the manufacturer's instructions (TruSeq stranded total RNA SamplePrep Guide RevC)"	"SRA"	"total"	"PhyloFish"								"PRJNA255889"
"SRP011583"	"Salmo salar Genome sequencing and assembly"	"Atlantic salmon is one of 68 closely related species of salmonids which comprise eleven genera that include salmon, trout, charr, freshwater whitefishes, ciscos and graylings. Atlantic salmon are of considerable economic, social and environmental importance. Salmonids contribute to local and global economies through aquaculture, wild stock fisheries and recreational sport fisheries. In addition, they are a traditional food source for aboriginal peoples and play a central role in their culture. Salmon and trout are sentinel species for monitoring the aquatic environment, and therefore they are used extensively for eco-toxicology studies. Importantly, the common ancestor of salmon and trout experienced a whole genome duplication (60-100MYA), and modern species may be considered pseudo tetraploid as they are well along the process of reverting to a stable diploid state. There is a large salmonid research community working on the biology, life histories, population dynamics, biogeography, phylogenetic relationships, physiology and nutrition of salmonids. No other species group of fishes receives such comprehensive commercial and scientific attention. p An International Collaboration to Sequence the Atlantic Salmon Genome (ICSASG), representing researchers, funding agencies and industry from Canada, Chile and Norway, was formed to undertake a comprehensive genome sequence that would benefit all salmonids. p Note: Double haploid individual chosen for sequencing"	"SRA"	"partial"	"Atlantic salmon (derived from one of the 3 first given ENA data)"	31				"PRJNA72713"	27088604	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8127823/pdf/41586_2016_Article_BFnature17164.pdf"	
"SRP059010"	"Salmo salar Genome sequencing and Transcriptome or Gene expression"	"Salmo salar reference transcriptome"	"SRA"	"partial"									"PRJNA260929"
"SRP101596"	"Manis javanica Raw sequence reads"	"The Malayan pangolin (Manis javanica), an unusual mammal that is a scale-covered, toothless specialist myrmecophage, is maintained primarily through captive breeding in China. Maintaining this species in captivity is a significant challenge partly because little is known about its behavior and reproduction. The molecular mechanisms of its digestive system play a key role in the feeding and dietary husbandry of pangolins in captivity. Here, we performed the first large-scale sequencing of M. javanica transcriptomes from three digestive organs-the salivary glands, liver, and small intestine-by using Illumina HiSeq technology- to provides useful genetic resources for future functional work that may be relevant for the maintenance of captive pangolins."	"SRA"	"total"									"PRJNA377215"
"SRP064341"	"Manis javanica Transcriptome or Gene expression"	"Malayan pangolin is a unique mammalian species endemic to Southeast Asia but little was known about its molecular data. This species is currently listed as critically endangered. We sequenced the transcriptome of multiple tissues from a female pangolin as an initiative to study this organism at the molecular level."	"SRA"	"total"									"PRJNA283328; SRA displays 9 samples (we annotated), while BioSamples (used for tissue information) has 10 samples"
"SRP051844"	"mRNA-Seq Expression profiling of human post-mortem BA9 brain tissue for Huntington's Disease and neurologically normal individuals"	"20 Huntington's Disease and 49 neurologically normal control samples from post-mortem human subjects"	"GEO"	"partial"									"GSE64810"
"SRP058709"	"Transcriptome Profiling of Developing Murine Lens through RNA Sequencing"	"Whole transcrtiome and microRNA profilling of mouse lens using 2 embryonic (E15 and E18) and 4 postnatal stages (P0, P3, P6 and P9) in duplicates through high-throughput sequening using Illumina HiSeq2000."	"GEO"	"partial"									"GSE69221"
"SRP081209"	"Systematic identification and characterization of long non-coding RNAs in zebrafish through RNA-Seq"	"Examination of mRNA and long noncoding RNA levels in embryonic heart, adult heart, and adult muscle tissues"	"GEO"	"total"									"GSE85416"
"SRP103128"	"Identification and Characterization of a Class of MALAT1-like Genomic Loci"	"4 RNA-Seq datasets analyzing gene expression in Anolis carolinensis. NSR-Seq of brain and testis, small RNA-Seq of testis (19-33 nt), small RNA-Seq of testis (52-68 nt)."	"GEO"	"partial"									"GSE97451"
"SRP045471"	"A relative shift in cloacal location repositions external genitalia in amniote evolution"	"RNA-seq profiling of embryonic limb and external genitalia tissue at different stages of development, in mouse and anole lizard, in duplicates, using Illumina HiSeq"	"GEO"	"total"									"GSE60373"
